,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,w_svptWon_pct,l_svptWon_pct,round_num
3011,2003-1536,Madrid Masters,Hard,M,20031013,1,101965,Wayne Ferreira,R,185.0,RSA,32.08,103344,Ivan Ljubicic,R,193.0,CRO,24.57,7-6(7) 7-6(5),3,R64,120.0,11.0,3.0,63.0,39.0,50.0,41.0,12.0,5.0,6.0,9.0,4.0,63.0,39.0,52.0,47.0,12.0,3.0,4.0,28.0,1090.0,42.0,865.0,0.17,0.05,0.62,0.38,0.79,0.65,12.0,12.0,0.14,0.06,0.62,0.38,0.83,0.75,1.34,1.41,2.0
3013,2003-1536,Madrid Masters,Hard,M,20031013,3,102998,Jan Michael Gambill,R,190.0,USA,26.36,103786,Nikolay Davydenko,R,178.0,RUS,22.36,6-3 6-3,3,R64,87.0,7.0,2.0,41.0,27.0,33.0,26.0,9.0,2.0,2.0,4.0,4.0,40.0,23.0,38.0,34.0,9.0,2.0,5.0,57.0,660.0,43.0,855.0,0.17,0.05,0.66,0.34,0.8,0.63,12.0,6.0,0.1,0.1,0.57,0.42,0.95,0.85,1.33,1.53,2.0
3014,2003-1536,Madrid Masters,Hard,M,20031013,4,102610,Albert Costa,R,180.0,ESP,28.3,103602,Fernando Gonzalez,R,183.0,CHI,23.21,6-3 7-6(3),3,R64,96.0,9.0,1.0,56.0,37.0,48.0,32.0,11.0,5.0,5.0,14.0,2.0,41.0,29.0,34.0,22.0,10.0,0.0,1.0,23.0,1170.0,22.0,1190.0,0.16,0.02,0.66,0.34,0.86,0.57,12.0,9.0,0.34,0.05,0.71,0.29,0.83,0.54,1.35,1.36,2.0
3015,2003-1536,Madrid Masters,Hard,M,20031013,5,102374,Alex Corretja,R,180.0,ESP,29.51,104745,Rafael Nadal,L,185.0,ESP,17.36,6-2 3-6 6-4,3,R64,127.0,3.0,7.0,46.0,32.0,47.0,35.0,13.0,5.0,9.0,1.0,1.0,43.0,32.0,57.0,23.0,14.0,4.0,10.0,127.0,290.0,49.0,788.0,0.07,0.15,0.7,0.3,1.02,0.76,15.0,12.0,0.02,0.02,0.74,0.26,1.33,0.53,1.59,1.74,2.0
3016,2003-1536,Madrid Masters,Hard,M,20031013,6,103888,Mardy Fish,R,188.0,USA,21.84,102450,Tim Henman,R,185.0,GBR,29.1,7-6(4) 6-3,3,R64,101.0,7.0,4.0,54.0,29.0,32.0,45.0,11.0,1.0,2.0,3.0,4.0,42.0,26.0,35.0,31.0,10.0,1.0,3.0,25.0,1145.0,30.0,1055.0,0.13,0.07,0.54,0.46,0.59,0.83,12.0,9.0,0.07,0.1,0.62,0.38,0.83,0.74,1.31,1.33,2.0
3017,2003-1536,Madrid Masters,Hard,M,20031013,7,103852,Feliciano Lopez,L,188.0,ESP,22.06,103151,Mariano Zabaleta,R,183.0,ARG,25.62,6-2 3-6 6-3,3,R64,111.0,6.0,4.0,52.0,27.0,38.0,34.0,13.0,1.0,3.0,3.0,4.0,54.0,35.0,58.0,36.0,13.0,8.0,12.0,35.0,1025.0,27.0,1133.0,0.12,0.08,0.52,0.48,0.73,0.65,15.0,11.0,0.06,0.07,0.65,0.35,1.07,0.67,1.28,1.55,2.0
3018,2003-1536,Madrid Masters,Hard,M,20031013,8,103292,Gaston Gaudio,R,175.0,ARG,24.84,103813,Jarkko Nieminen,L,185.0,FIN,22.22,3-6 7-5 6-2,3,R64,100.0,8.0,2.0,56.0,41.0,56.0,26.0,14.0,1.0,3.0,2.0,3.0,51.0,35.0,54.0,30.0,15.0,4.0,8.0,37.0,1000.0,31.0,1050.0,0.14,0.04,0.73,0.27,1.0,0.46,16.0,13.0,0.04,0.06,0.69,0.31,1.06,0.59,1.38,1.41,2.0
3019,2003-1536,Madrid Masters,Hard,M,20031013,9,103970,David Ferrer,R,175.0,ESP,21.53,104022,Mikhail Youzhny,R,183.0,RUS,21.3,1-6 6-4 6-4,3,R64,105.0,1.0,2.0,48.0,32.0,52.0,30.0,14.0,3.0,8.0,2.0,3.0,49.0,28.0,37.0,46.0,13.0,1.0,5.0,72.0,480.0,29.0,1060.0,0.02,0.04,0.67,0.33,1.08,0.62,13.0,14.0,0.04,0.06,0.57,0.43,0.76,0.94,1.65,1.64,2.0
3020,2003-1536,Madrid Masters,Hard,M,20031013,10,102434,Vincent Spadea,R,183.0,USA,29.23,103294,Christophe Rochus,R,170.0,BEL,24.83,6-4 7-5,3,R64,97.0,5.0,8.0,42.0,24.0,32.0,43.0,11.0,4.0,8.0,1.0,9.0,41.0,28.0,45.0,39.0,11.0,6.0,12.0,33.0,1040.0,87.0,421.0,0.12,0.19,0.57,0.43,0.76,1.02,13.0,9.0,0.02,0.22,0.68,0.32,1.1,0.95,1.53,1.65,2.0
3021,2003-1536,Madrid Masters,Hard,M,20031013,11,102035,Jonas Bjorkman,R,183.0,SWE,31.56,103498,Marat Safin,R,193.0,RUS,23.71,4-6 7-5 6-4,3,R64,151.0,8.0,7.0,64.0,46.0,62.0,34.0,16.0,5.0,8.0,16.0,4.0,74.0,55.0,77.0,55.0,16.0,14.0,18.0,41.0,873.0,38.0,985.0,0.12,0.11,0.72,0.28,0.97,0.53,17.0,15.0,0.22,0.05,0.74,0.26,1.04,0.74,1.35,1.76,2.0
