,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
2,2000-339,Adelaide,Hard,A,20000103,3,102998,Jan Michael Gambill,R,190.0,USA,22.58,101885,Wayne Arthurs,L,190.0,AUS,28.8,3-6 7-6(5) 6-4,3,R32,115.0,8.0,3.0,81.0,40.0,35.0,28.0,15.0,0.0,1.0,26.0,2.0,103.0,59.0,49.0,22.0,16.0,4.0,5.0,58.0,544.0,105.0,243.0,0.1,0.04,0.49,0.51,0.43,0.35,15.0,16.0,0.25,0.02,0.57,0.43,0.48,0.21,2000,20-24
4,2000-339,Adelaide,Hard,A,20000103,5,102796,Magnus Norman,R,188.0,SWE,23.59,102401,Scott Draper,L,178.0,AUS,25.58,6-4 6-4,3,R32,68.0,6.0,2.0,52.0,32.0,26.0,12.0,10.0,0.0,1.0,4.0,2.0,73.0,40.0,25.0,16.0,10.0,7.0,10.0,15.0,1244.0,154.0,219.0,0.12,0.04,0.62,0.38,0.5,0.23,12.0,8.0,0.05,0.03,0.55,0.45,0.34,0.22,2000,20-24
6,2000-339,Adelaide,Hard,A,20000103,7,102872,James Sekulov,R,180.0,AUS,23.22,101150,Gianluca Pozzi,L,180.0,ITA,34.55,6-4 2-6 6-2,3,R32,89.0,2.0,3.0,74.0,50.0,32.0,14.0,13.0,3.0,6.0,8.0,5.0,64.0,26.0,22.0,17.0,13.0,2.0,6.0,144.0,279.0,94.0,403.0,0.03,0.04,0.68,0.32,0.43,0.19,14.0,12.0,0.12,0.08,0.41,0.59,0.34,0.27,2000,20-24
8,2000-339,Adelaide,Hard,A,20000103,9,103720,Lleyton Hewitt,R,180.0,AUS,18.86,101185,Mark Woodforde,L,188.0,AUS,34.28,6-3 2-6 6-1,3,R32,108.0,0.0,4.0,71.0,39.0,27.0,18.0,12.0,5.0,8.0,2.0,2.0,82.0,48.0,31.0,13.0,12.0,11.0,16.0,25.0,955.0,130.0,201.0,0.0,0.06,0.55,0.45,0.38,0.25,14.0,10.0,0.02,0.02,0.59,0.41,0.38,0.16,2000,<20
10,2000-339,Adelaide,Hard,A,20000103,11,102652,Christian Vinck,L,183.0,GER,24.33,102834,Paul Goldstein,R,178.0,USA,23.41,3-6 6-3 6-4,3,R32,115.0,7.0,2.0,96.0,55.0,35.0,22.0,14.0,8.0,11.0,2.0,6.0,85.0,54.0,39.0,12.0,14.0,5.0,9.0,230.0,151.0,89.0,295.0,0.07,0.02,0.57,0.43,0.36,0.23,15.0,13.0,0.02,0.07,0.64,0.36,0.46,0.14,2000,20-24
14,2000-339,Adelaide,Hard,A,20000103,15,103444,Jean Rene Lisnard,R,173.0,MON,20.27,101833,Michael Tebbutt,L,190.0,AUS,29.03,7-6(4) 6-7(4) 6-4,3,R32,134.0,5.0,1.0,106.0,72.0,57.0,17.0,17.0,6.0,8.0,8.0,12.0,122.0,67.0,57.0,22.0,17.0,3.0,6.0,138.0,306.0,351.0,80.0,0.05,0.01,0.68,0.32,0.54,0.16,18.0,16.0,0.07,0.1,0.55,0.45,0.47,0.18,2000,20-24
21,2000-339,Adelaide,Hard,A,20000103,22,101727,Jason Stoltenberg,R,185.0,AUS,29.75,102652,Christian Vinck,L,183.0,GER,24.33,3-6 6-4 6-4,3,R16,109.0,7.0,5.0,94.0,53.0,35.0,24.0,15.0,6.0,10.0,2.0,5.0,81.0,44.0,25.0,23.0,14.0,2.0,6.0,80.0,339.0,230.0,151.0,0.07,0.05,0.56,0.44,0.37,0.26,15.0,14.0,0.02,0.06,0.54,0.46,0.31,0.28,2000,25-29
35,2000-891,Chennai,Hard,A,20000103,5,102259,Jerome Golmard,L,188.0,FRA,26.32,102689,Martin Spottl,R,180.0,AUT,24.11,6-3 6-4,3,R32,81.0,8.0,2.0,65.0,43.0,33.0,14.0,10.0,4.0,4.0,6.0,2.0,61.0,21.0,14.0,23.0,9.0,2.0,4.0,35.0,666.0,201.0,191.0,0.12,0.03,0.66,0.34,0.51,0.22,12.0,7.0,0.1,0.03,0.34,0.66,0.23,0.38,2000,25-29
43,2000-891,Chennai,Hard,A,20000103,13,103714,Andreas Vinciguerra,L,180.0,SWE,18.87,101826,Alex Lopez Moron,R,175.0,ESP,29.1,6-4 6-2,3,R32,69.0,3.0,4.0,55.0,31.0,24.0,11.0,9.0,3.0,5.0,3.0,5.0,55.0,27.0,17.0,10.0,9.0,2.0,7.0,98.0,377.0,116.0,333.0,0.05,0.07,0.56,0.44,0.44,0.2,12.0,6.0,0.05,0.09,0.49,0.51,0.31,0.18,2000,<20
49,2000-891,Chennai,Hard,A,20000103,19,102259,Jerome Golmard,L,188.0,FRA,26.32,102966,Fredrik Jonsson,R,193.0,SWE,22.77,6-2 6-3,3,R16,59.0,5.0,0.0,46.0,33.0,26.0,10.0,9.0,0.0,0.0,5.0,0.0,41.0,23.0,15.0,12.0,8.0,2.0,5.0,35.0,666.0,126.0,198.0,0.11,0.0,0.72,0.28,0.57,0.22,12.0,5.0,0.12,0.0,0.56,0.44,0.37,0.29,2000,25-29
53,2000-891,Chennai,Hard,A,20000103,23,102106,Davide Sanguinetti,R,188.0,ITA,27.36,103714,Andreas Vinciguerra,L,180.0,SWE,18.87,2-6 7-5 6-3,3,R16,114.0,8.0,2.0,104.0,62.0,43.0,16.0,15.0,9.0,14.0,1.0,2.0,96.0,54.0,35.0,19.0,14.0,7.0,12.0,120.0,306.0,98.0,377.0,0.08,0.02,0.6,0.4,0.41,0.15,15.0,14.0,0.01,0.02,0.56,0.44,0.36,0.2,2000,25-29
56,2000-891,Chennai,Hard,A,20000103,26,102259,Jerome Golmard,L,188.0,FRA,26.32,102965,Jamie Delgado,R,178.0,GBR,22.79,6-3 6-4,3,QF,69.0,8.0,3.0,56.0,34.0,29.0,12.0,10.0,5.0,6.0,4.0,3.0,51.0,27.0,20.0,11.0,9.0,5.0,8.0,35.0,666.0,161.0,247.0,0.14,0.05,0.61,0.39,0.52,0.21,12.0,7.0,0.08,0.06,0.53,0.47,0.39,0.22,2000,25-29
59,2000-891,Chennai,Hard,A,20000103,29,102259,Jerome Golmard,L,188.0,FRA,26.32,102093,Martin Damm,R,188.0,CZE,27.42,3-6 6-3 6-3,3,SF,100.0,11.0,0.0,71.0,44.0,38.0,15.0,13.0,1.0,2.0,12.0,0.0,92.0,50.0,37.0,21.0,14.0,5.0,8.0,35.0,666.0,104.0,296.0,0.15,0.0,0.62,0.38,0.54,0.21,15.0,12.0,0.13,0.0,0.54,0.46,0.4,0.23,2000,25-29
61,2000-891,Chennai,Hard,A,20000103,31,102259,Jerome Golmard,L,188.0,FRA,26.32,103082,Markus Hantschk,R,188.0,GER,22.12,6-3 6-7(6) 6-3,3,F,148.0,8.0,1.0,88.0,65.0,49.0,13.0,14.0,2.0,3.0,10.0,4.0,123.0,74.0,53.0,18.0,16.0,9.0,14.0,35.0,666.0,128.0,273.0,0.09,0.01,0.74,0.26,0.56,0.15,18.0,12.0,0.08,0.03,0.6,0.4,0.43,0.15,2000,25-29
